QueryText,KccAns
for subcidy of tubewell,75 subcidy is given
asking seed rate in seasamum,prefer 25-30 kgha
asking blight in cumin,prefer mencozeb 35gmpump
ask about root parasites in tobaco,use 3 amonium sulphate mixture
asking control for heliothis in tomato,advice to use indoxicarb 20mlpump
for subcidy of rotavator,50 subcidy is given
for control of sucking pest in wheat,use imidacloprid 8ml acephate 10gmpump
asking information about subsidy on bore,it is about 50 and contact to taluka development officer and gram sevak
ask for the heliothis in tobbaco,use of thiodicarb 15gmpump
for information of stivia,give required information
ask about irrigation in groundnut,give after 18days
ask for the sucking pest in wheat,use of imidaclorprid 7ml acephat 10gmpump
for control of thrips in chilli,spray imidacloprid 8ml acephate 10gmpump
for irrigation in groundnut,give irrigation at 18-20 days
asking of low milk production,transfar to draswarsir
asking of root rot in sesamum,use mancozeb 15gmpump
heliothis in wheat,use endosulfan 15mlpump
asking of market price for caster,advice for give propar information
for vareity of bajra,preffered ghb-558526
ask for the heliothisd in tomato,use of indoxicasrb 20mlpump
fertiliser dose of groundnut,advice to give 25 kg nitrogen per hac 30das
spacing of sun flower,sowingin 6020 cm
asking of contect no of agriculture engineering,advice for propar information
asking of market price of caster,advice for give propar price
asking of vakumba in culiflower,advice for destory to vakumba
for control of sucking pest in tobacco,spray imidacloprid 8ml acephate 10gmpump
variety of bajra,prefere ghb-526229577558
ask for the varities of bajara,use of ghb-558526
for vareity of sesamum,guj-12
asking for honeybee cultivation,give contact no of university
low milk production in cow,advice to give dry and green fodderamul dan and mineral mixture
askf orthe sowing time od brijal,sowing in kharif or rabi
for control of heliothis in brinjal,use indoxicarb 20mlpump
fertilizer dose in coconut,give 75kg ammonium sulphate2kg ssp per tree
ask for the sab sidy in lown for the animal purchage,contect to nabard bank
asking information about getting subsidy on cattle,advice to contact to taluka development officer or gram sevak
for variety of moong,guj-4 k-851
asking sowing time of bajra,advice to grow in feburary-march
asking control for sucking pest in bajra,advice to use imidacloprid 5-7ml  acefate powder 10gmpump
for control of sucking pest in wheat,spray imidacloprid 8ml acephate 10gmpump
asking variety of bottle gourd,advice to grow pisa pholyphic longpunjab komal
asking about bottle gourd,prefer pusa navin
asking about aloe vera seed rate,prefer 30000-34000 suckersha
wilt in wheat,use mencozeb 25gmpump
asking about subsidy on tractor,advice to contect to agri officer
asking of thrips in sesamm,use imidacloprid 6mlpump
irrigation information in bajra,give proper information
ask about sucking pest in wheat,use emida chlopride8mlacephate 10gmpump
asking of thrips in sesamum,use imidaclopird 6mlacephate 10gmpump
heliothis in wheat,use endosulfan 15mlpump
ask about loan for farming,advise to contact nationalize bank
ask about fertilizer in wheat,not recomended
asking sucking pest in bottle gourd,prefer dimethoate 20mlpump
asking market price of tobacco,prefer give him market price
ask about metraity,transfer to aswar sir
asking of sowing time of yam,advice for march-april
asking of wilt in tobbaco,use mancozeb 25gmpump
asking wilt in tobacco,use hexachlonazol 20mlpump
asking of thrips in tomato,use imidacloprid 8mlacephate 15gmpump
asking heliothis in gram,prefer indoxicarb 20mlpump
asking about sucking pest in cumin,use immida 7ml  acephate 12gmpump
asking fungus in wheat,prefer mencozeb 35gmpump
variety of bajra,ghb-235558216
thrips in wheat,use imidacloprid 8mlacephate 10gmpump
call disconnected,call disconnected
ask for theseed rate of guar,useof 7 to 10 seedhacofland
ask for the sucking pest in bajar,use of imidaclorprid 7ml acephat 10gmpump
asking of thrips in cumin,use imidacloprid 8mlacephate 15gmpump
wilt in caster,use mencozeb 25gmpump
asking of thrips in sesamum,use imidacloprid 6mlacephate 10gmpump
smut in wheat,use mencozeb 25gmpump
smut in wheat,use k-851 gujarat moong-12
sucking pest in groundnut,use imidacloroprid 5-7mlpump
asking information about connection of light,advice to contact to district agriculture officer
wilt in wheat,use hexaconezole 25-30gmpump
leaf curl in chilli,use triazophos 15-20mlpum
for control of sucking pest in wheat,spray imidacloprid 8ml acephate 10gmpump
asking variety of bajra,advice to grow ghb-15235558528
ask about sucking pest in wheat,use emida chlopride 8mlacephate 10gmpump
ask about wilt in chilli,use hexaconazol 20mlpump
asking of sowing time of moong,advice for february to march
ask about sucking pest in groundnut,use emida chlopride 8mlacephate 10gmpump
ask about divert water flow in river,advise to conatact agricultural officer
asking control for stem borer in tobacco,advice to use thiodcarb 25gmpump
asking control for wilt in chilli,advice to use mancozeb powder 35gmpump
asking of varity of clusterbeen,use push sada baharpush nav bahar
asking cultivation practices in rridge guard,give cultivation practices of ridge guard
asking about variety of green gram,prefer k-851guj-1234
ask about variety of seasemum,use guj seasemum -1210
sowing time of bajra,sowing in feb-march
wilt in aonla,use mencozeb or carbendezim
maturing time of tobbaco,125-135 days
low milk production in buffalo,use minfa powder mineral mixture dan
heliothis in wheat,use quinalphos 25-30mlpump
ask for the sucking pest in sesamum,use of imidaclorprid 7mlpump
asking haliothis in water melon,prefer indoxicarp 20 mlpump
asking haliothis in water melon,prefer indoxicarp 20 mlpump
asking information about getting subsidy on seeds,advice to contact to taluka development officer or gram sevak
asking control for sucking pest in groundnut,advice to use imidacloprid 5-7ml  acefate powder 10gmpump
asking control for root rotting in chilli,advice to use hexaconzole 25-30mlpump and do drenching
asking of heliothis in chilli,use quinilphos 20mlpump
asking control for root rotting in chilli,advice to use hexaconozole 25-30mlpump and do drenching
asking wilt in watermelon,prefer carbendizem 30 gmpump
asking fertiliser dose in aonla,advice to use 1000-500-500 npk gmtree
asking about medicinal crops,i have given contact number of anand agri university
ask for the sucking pest in chilli,use of imidacloprid 7ml  acephat 10gmpump
asking control for sucking pest in groundnut,advice to use imidacloprid 5-7ml  acefate powder 10gmpump
asking control for whitefly in axro,advice to use trizophous 15-20mlpump
ask for the fertilizer dose of cowpea,use of 97 kg amoniam salphat250kg ssphac of land
heliothis in watermelon,use quinilphos 20mlpump
asking about wound in tail in buffalo,not given answer because of holiday
for control of cuminblight,spray mencozeb 35gmpump
ask for the sucking pest in chilli,use of imidaclorprid 7ml  acephat 10gmpump
asking variety of moong,prefer k851 guj1234
asking variety of moong,prefer k851 guj1234
asking of sowing time of sesamum,advice for time period is over
heliothis in caster,advice to endosulfan 15mlpump
asking information about increase size of the boll of the cotton,advice to use micronutrient fertiliser 3040gmpump
asking control for heliothis in lucerne,advice to use quinlphous 20mlpump
ask for the sab sidy in cattle shed,sab sidy up to 50
asking about sucking pest in moong,prefer dimethoate 20mlpump
subsidy on pump,contect to agri officer
ask about rogaweeder,give information  contact no of aau
for address of tools and impliments company,give address
for control of fungus in potato,spray mencozeb 35gmpump
asking of thrips in sesamum,use imidacloprid 6mlacephate 10
ask about irrigationin groundnut,give after 1820days
asking time of sowing of bottle guard,prefer febmarch
ask about herbicide in rose,not recomended
asking krushi mahotsav,give proper information
asking time of sowing of cucvumber,prefer feb march
ask about sucking pest chilli,use emida chlopride 8mlacephate 10gmpump
sucking pest in suva,use dimethoate 1520mlpump
asking for using cow urine in spinch gourd,advice to contact to anand agriculture university
asking about subsidy,please contact to the district devlopment officer
thrips in chilli,use imidacloprid 8mlacephate 10gmpump
subsidy on fencing,contect to agri officer
weed problem in groundnut,advice to hand weeding
asking variety of bottlegourd,advice to grow pusa samar polyphonic longpusa navinpunjab komal
for vareity of moong,guj4
asking control for sucking pest in groundnut,advice to use imidacloprid 57ml  acefate powder 10gmpumjp
for control of heliothis in wheat,use thiodicarb 25gmpump
for control of yellowing in groundnut,use ferous sulphate 100gm citric acid 10ml10lit
heliothis in wheat,advice to spray quinalphos 2530mlpump
asking variety in blackgrame,prefer tpu 9
asking seed rate of moong,prefer 2025kgha
heliothis in chilli,advice to sprya quinalphos 2530mlpump
heliothis in chilli,use quinalphos 2530mlpump
weed problem in lucerne,advice to hand weeding
ask about dairy,advise to contact agril officer
asking of market price of caster,advice to give propar price
asking about weed problem in groundnut,advice to hand weeding
asking sucking pest in chilli,prefer imidacloprid 7 ml  acifet 10 gmpump
ask the cow not give the milk suddeny,contect to near vetnary officer
for control of sucking pest in brinjal,spray imidacloprid 8ml acephate 10gmpump
problem of cattle,call after 200pm
asking about aau contact no,give him contact no
subsidy on tractor,contect to taluka development officer
for subcidy of rhizobium culture,50 subcidy is given
ask for the sucking pest in green gram,use of imidaclorprid 7ml  acephat 10gmpump
ask for the connection for the light in drip riigation,contect to geb in ur taluka level
asking price of tobacco,not available
-----------,-----------------
asking anand agri university phone number,give proper information
ask about growth hormon in okra,use nepthelic acetic acid 2mlpump
---,---
asking subsidy in gypsum,50 subsidy is given
ask baout sucking pest i chilly,use tirzophosh 15 ml pump
ask about conatact no of dantiwada,give the contact no
subsidy in open pipelines,--------
asking of wilt in sesamum,prefer hexachlonazol 20mlpump
asking variety of cluster bean,pusa navbahar pusa sadabahar
ask for the yellowish of groundnut,use of feso4 100gm  citrc acid 10mlpump
ask for the varitie sof cow pea,use of pusa falgunipusa komal
ask for the sab sidy in pipeline,sab sidy up to 33 or 10000 rs
asking variety of chilli,s-49 gvc-101111121
asking variety of moong,prefer k-851guj moong-1234
ask for the fertilizer dose of groundnut,use of feso4 100gm  citric acid 10mlpump
asking of thrips in moong,use imidacloprid 6mlacephate 10gmpump
ask about variety of seasemum,guj seasemum-1210
asking of heliothis in mustard,use quinilphos 20mlpump
for control of sucking pest in chilli,spray imidacloprid 8ml acephate 10gmpump
for fertilizer dose in bittergourd,give 30kgha nitrogen
ask for the root rot in watermelon,use of mencozeb 25gmpump
ask about heliothis in bitter gourd,use thyodicarb 15gmpump
asking any new release variety in wheat in this year,no release new variety
for control of falling of flowers in pomegranate,spray naa 4mlpump
asking conavedor machine,not information available
call disconnected,call disconnected
asking pripartom prolex in cow,transfer to dr aswar sir
for land maping,advice to contact mamlatdar office
ask for the fertilizer does f green gram,use of 20-40-00 kg npkhac of land
ask about contact no of anand uni,give the contact no
ask about sucking pest in sesamum,use imidaclorpride 8 ml  acephate 15 g pump
asking of thrips in bajra,use imidacloprid 8mlacephate 10gmpump
asking thrips in sesamum,use imidacloprid 6mlacephate 10gmpump
ask about thrips in chilli,use phosphamidon 5mlpump
ask fo rht emango not bear of flower,it is due to the varities problem
for control of sucking pest in sesamum,use imidacloprid 8ml acephate 10gmpump
ask about honney bea productio,give the con no anand uni
ask about growth hormon for groundnut,use nepthelic acetic acid 2-3gmpump
variety of wheat,use gw-173273322496
asking time of sowing of bajara,prefer feb-march
asking about seed treatment procedure in okra,give proper information
ask about fancing subsidy,subsidy available contacto taluka extension officer
asking of subcidi in drip irrigation,advic eto give 50 subcidi
asking sowing time of cabbage,advice to grow in last week of october till 1st week of november
asking wilt in sesamum,use hexachlonazol 20mlpump
asking of cashunut procesing,advice to give propar in formation
asking of cashunut procesing,advice to give propar in formation
ask about subsidy on conoweeder,available upto 3000
asking whitefly in brinjal,use trizophos 20mlpump
asking low milk production in buffalo,prefer minfawet powder mineral mixture
asking subcidy in fencing,30 subcidy in fencing
ask about anand uni contact no,give the contact no
asking market price of wheat,it is about 1025-1500rsquintal
variety of bajra,advice to ghb-235558
heliothis in okra,use quienalphos 15-20mlpump
asking subsidy in conoweeder,prefer 50 subsidy
for preparation of silage,transfer to dr aswar sir
asking conoweeder subsidy,50 subsidy is given
--------------,---------
ask about sucking pest in sesamum,use trizophosh 15 ml pump
for subcidy of gypsum,50 subcidy is given
ask about sucking pest in groundnut,use emida chlopride 8mlacephate 10gmpump
asking weed control in bajara,prefer han weeding
ask for the sowing time of moong,sowing in feb-march
asking subsidy in conoweeder,50 subsidy
asking of fungas in sesamum,use imidacloprid 8mlacephate 10gmpump
asking information about website of anand agriculture university,gave the website
asking of thrips in sesamum,use imidacloprid 8mlacephate 10gmpump
ask for the fertilizer dose of moong,use of 20-40-00 kg npkhac of land
ask forhjte information regarding forest crop,gave proper information
asking of wilt in sesamum,use mancozeb 25gmpump
for vareity of moong,guj-4
ask heliothis inground nut,use indoxicarb 15 gpump
ask about fertilizer in cotton,use 160-00-00 npkha
ask about fertilizer in cotton,use 1600000 npkha
ask about sucking pest in clusterbean,use emida chlopride 8mlacephate 10gmpump
ask about sucking pest in clusterbean,use emida chlopride 8mlacephate 10gmpump
ask for the sowing time of bajara,sowing in febmarch
ask for the sowing time of bajara,sowing in feb-march
ask for the sowing time of bajara,sowing in feb-march
ask for the vetnry problem,sir mobile is swich off
ask for the vetnry problem,sir mobile is swich off
ask for the vetnry problem,sir mobile is swich off
ask for the interest rate of kisan credit card,7 rate
ask for the interest rate of kisan credit card,7 rate
ask for the interest rate of kisan credit card,7 rate
ask about minitractor cost,give information
ask about minitractor cost,give information
ask about minitractor cost,give information
ask for the sab sidy in green house,sab sidy up to 50
ask for the sab sidy in green house,sab sidy up to 50
ask for the sab sidy in green house,sab sidy up to 50
asking variety of maize,prefer guj maize-12346 ganga safed-2
asking variety of maize,prefer guj maize12346 ganga safed2
asking variety of maize,prefer guj maize-12346 ganga safed-2
for seedrate of,12-15kgha
for seedrate of,12-15kgha
for seedrate of,1215kgha
wilt in okra,advice to spray mancozeb 2530gmpump
wilt in okra,advice to spray mancozeb 25-30gmpump
wilt in okra,advice to spray mancozeb 25-30gmpump
asking for agroforestry,give contact no of university
asking for agroforestry,give contact no of university
asking for agroforestry,give contact no of university
asking about information of agro forestry golden plan,give proper information
asking about information of agro forestry golden plan,give proper information
asking about information of agro forestry golden plan,give proper information
ask for the wilt in bottle gaurd,use of mencozeb 25gmpump
ask for the wilt in bottle gaurd,use of mencozeb 25gmpump
ask for the wilt in bottle gaurd,use of mencozeb 25gmpump
ask about yellowish in bajra,give uria
ask about yellowish in bajra,give uria
ask about yellowish in bajra,give uria
ask about minitractor prices,give information
ask about minitractor prices,give information
ask about minitractor prices,give information
for contro of yelloeing of groundnut,use feso4 100gm citric acid 10ml10lit
for contro of yelloeing of groundnut,use feso4 100gm citric acid 10ml10lit
for contro of yelloeing of groundnut,use feso4 100gm citric acid 10ml10lit
asking from where to get the seeds of new variety of paddy,advice to contact to navagam rice station
asking from where to get the seeds of new variety of paddy,advice to contact to navagam rice station
asking from where to get the seeds of new variety of paddy,advice to contact to navagam rice station
bloody milk in cow,transfer to dr aswar sir
bloody milk in cow,transfer to dr aswar sir
thrips in chilli,use imidacloprid 8mlacephate 10gmpump
thrips in chilli,use imidacloprid 8mlacephate 10gmpump
ask about weather,give information
ask about weather,give information
ask for the varities of soyabean,use of guj-soyaben-12
ask for the varities of soyabean,use of guj-soyaben-12
for fertilizer dose in rose,give 50:50:50gmtree npk
for fertilizer dose in rose,give 50:50:50gmtree npk
ask for the sab sidy in pipe line,sab sidy up to 33
ask for the sab sidy in pipe line,sab sidy up to 33
asking for getting subsidy on leafy vegetable,advice to contact to taluka development officer
asking for getting subsidy on leafy vegetable,advice to contact to taluka development officer
fungus problem in chilli,use mencozeb 25gmpump
fungus problem in chilli,use mencozeb 25gmpump
asking control for heliothis in okra,advice to use quinalphous 20mlpump
asking control for heliothis in okra,advice to use quinalphous 20mlpump
asking price of castor,price of castor rs2190-2225qnt
asking price of castor,price of castor rs2190-2225qnt
asking price of castor,price of castor rs2190-2225qnt
ask about sawing time of cotton,june - july
ask about sawing time of cotton,june - july
ask about sawing time of cotton,june - july
asking sowing time of cotton,prefer june-july
asking sowing time of cotton,prefer june-july
asking sowing time of cotton,prefer june-july
for sowing season of cotton,it can sawn in june-july
for sowing season of cotton,it can sawn in june-july
for sowing season of cotton,it can sawn in june-july
asking information about getting subsidy on cattle shed,advice to contact to taluka development officer
asking information about getting subsidy on cattle shed,advice to contact to taluka development officer
asking information about getting subsidy on cattle shed,advice to contact to taluka development officer
ask about subsidy on horticulture crop,available upto 40  advise to contact gorticulture officer of district
ask about subsidy on horticulture crop,available upto 40  advise to contact gorticulture officer of district
ask about subsidy on horticulture crop,available upto 40  advise to contact gorticulture officer of district
asking yellowing of ground nut,use ferus sulphate 100gm citric acid 10gmpump
asking yellowing of ground nut,use ferus sulphate 100gm citric acid 10gmpump
asking yellowing of ground nut,use ferus sulphate 100gm citric acid 10gmpump
asking irrigation interval in okra,prefer 8-10 days interval
asking irrigation interval in okra,prefer 8-10 days interval
asking irrigation interval in okra,prefer 8-10 days interval
asking control for termite in groundnut,advice to use chloropyriphous 20mlpump
asking control for termite in groundnut,advice to use chloropyriphous 20mlpump
asking control for termite in groundnut,advice to use chloropyriphous 20mlpump
ask for the termite problem in groundnut,use of chlorphayriphos 25 literhac
ask for the termite problem in groundnut,use of chlorphayriphos 25 literhac
ask for the termite problem in groundnut,use of chlorphayriphos 25 literhac
ask for the heliothis in mango,use of endosalphan 20mlpump
ask for the heliothis in mango,use of endosalphan 20mlpump
ask for the heliothis in mango,use of endosalphan 20mlpump
ask for ht evarities of guar,use of pusa navbaharpusa sadabahar
ask for ht evarities of guar,use of pusa navbaharpusa sadabahar
ask for ht evarities of guar,use of pusa navbaharpusa sadabahar
asking for green manuring,transfer to drjoshi sir
asking for green manuring,transfer to drjoshi sir
asking for green manuring,transfer to drjoshi sir
asking weed control in juwar,prefer hand weeding
asking weed control in juwar,prefer hand weeding
asking weed control in juwar,prefer hand weeding
asking irrigation in cowpea,1st irrigation at 20-25das 2nd and 3rd at flowering and pod formation
asking irrigation in cowpea,1st irrigation at 20-25das 2nd and 3rd at flowering and pod formation
asking irrigation in cowpea,1st irrigation at 20-25das 2nd and 3rd at flowering and pod formation
asking of sowing time of cotton,advice to grown jnue to july
asking of sowing time of cotton,advice to grown jnue to july
asking of sowing time of cotton,advice to grown jnue to july
asking about gaining tissue culture plant eucalyptus,give him contact no to nursery
asking about gaining tissue culture plant eucalyptus,give him contact no to nursery
asking about gaining tissue culture plant eucalyptus,give him contact no to nursery
asking about gaining tissue culture plant eucalyptus,give him contact no to nursery
ectoparasite of buffalo,transfer to dr aswar sir
ask for the wilt in moong,use of carbandezim 25gmpump
asking about split dose in okra,advice to use 75kg nitrogen at 45 das
asking for subsidy for cotton,please cotact to the district devlopment officer
asking information about water testing,gave the contact noof kheda soil and water testing
sowing time of beetroot,prfere sowing in aug-sep
asking information about getting subsidy on tractor,it is about 45000-rs and contact to taluka development officer
ask about yellowish in okra,use emida chlopride 8mlacephate 10gmpump
ask about sucking pest in moong,use emida chlopride 8mlacephate 10gmpump
ask about fertilizer in cotton,use 1806060 npk ha
heliothis in moong,use quienalphos 15mlpump
sucking pest in couliflower,advice to spary imidacloroprid 5-7mlpump
ask for the sab sidy in tractore,sab sidy up to 33 or 45000rs
ask about sucking pest in pomegranate,use trisophose 15mlpump
dehorning in buffalo,transfer to draswar sir
ask for the herbicide for the bittergourd,prfer hand weeding
variety of chilli,s-49 jwala gujarat chilli-1
asking information about getting subsidy on rotavator,it is about 30000- and contact to taluka development officer
ask about irrigation groundnut,not recomended
duration of groundnut crop,it is 90-120 days1
asking fruit borer in brinjal,use carbaryl 40gmpump
asking weed control in paddy,advice to use 24-d
asking of time of sowing of cotton,prefer june-july
asking of thrips in moong,use imidacloprid 8mlacephate 10gmpump
asking of fertilizer in cotton,use 160kg nha
asking about falling of unmature papaya,use naa 250mgpump
for control of mealybug in cotton,use methylparathion 25kgha
ask about irrigation in bottlegourd,6-8 irrigation is required
asking sucking pest in bitter guard,prefer imidacloprid 7 ml  acifet 10 gmpump
asking red mite in bitter gourd,use o-myte 10mlpump
asking of how many parcantage in sigal supar phospate,advice to 16 parcentage is reqired
asking of how many parcentage in potash,advice to 60  in potash
asking for using herbicide in cowpea as pre-emergence,advice to use pendimethalien 40mlpump
asking sucking pest in bitter gourd,use imidachloprid 8ml acephate 12gmpump
asking of thrips in sesamum,use naa 2mlpump
asking time of sowing,prefer jun-july
for variety of cotton,rashibollgaurdkrushidhan
for subcidy of pipeline,75 subcidy is for stsc people
fertilizer dose in cotton,advice to u se 180-00-00 npk kgha
ask for the irrigation management in groundnut,use of when ever require
for irrigation in kidneybean,give irrigation at 10-12 days interval
asking variety in cow pea,prefer pusa falgunipusa komalgc-134
ask for the when to burn of ikkad in soil,at flowering stage
mealy bag control in cotton,use of methayl parathion 25kghac of land
ask about about variety in cotton,use krushidhan guj cot -6-8-13
sowing time of arduso,prefere sowing in june-july
asking about fruitfly in bittergourd,advice to use pheromen trape
asking control for wilt in brinjal,advice to use mancozeb powder 35gmpump
asking variety of cowpea,advice to grow gujcowpea-134
asking of thrips in sesamum,use imidacloprid 8mlacephate 10gmpump
asking harvesting period of summer groundnut,advice to do harvesting at 90120days
asking for greenmanuring,transfer to drjoshi sir
asking of sowing time of cotton,to prefar june to july
asking for data producton,we have no information for that
asking control for army worm in okra,advice to use thiodicarb 2530gmpump
asking of thrips in sesamum,use imidacloprid 8mlacephate 10gmpump
asking last irrigation in ground nut,stop before 10 days of harvesting
asking information about fruit research station in dehgam,gave the contact noof fruit research stationgandhinagar
asking split application in okra,prefer 240 kg as for the time of flowering
ask for the what pu purchage of hortiplant,give the contect number of nurssery
for irrigation in groundnut,give irrigation at 1112 days interval
subcidy for pipeline,75 subcidy is given for scst
asking about sowing time of cotton,prefer junejuly
ask for the fertilizer does f okra,use of 755050 kg npkhac of land
for control of yellowing in okra,use mencozeb 35gmpump
blank call,blank call
ask for the contect seed corporation,give the contect number
ask for the when to harvest of shan hemp,burn in soil at flowering stage
asking time of sowing of sorghum,prefer junjuly
sowing time of okra,sowing in junejuly
ask for the fertilizer doseof moong,ues of 204000 kg npkhac of land
blank call,blank call
ask for the control of chidho,ues of pendimithalin befor sowing of cropand deep plowing in soil
asking variety of maize,use gujmaize12346ganga211
ask for the low milk production,give the milfa powdermineral mixturedan
asking of variety of cowpea,information given
asking variety of cowpea,advice to grow gujcowpea134
ask about variety of paddy,guj rice12
variety of cotoon,super bunny bolgaurd rashi2
asking of sowing time of ground nut,to prefar june to july
asking about insurance on farming,contect to bank
variety of cotton,prfere gcot681012
ask for the varities of cotton,use of krushi dhan 12digavijaysanjay
ask for hte fertilizer doseof cotton,use of 505052 kg npkhac of land
ask about variety of paddy,gr345sk20dandi
pig problem in groundnut field,please contact to the forest officer
ask about maturity days of groundnut,mature after 120 das
blank call,blank call
asking for anand agroforestry contact number,i have given contact number
blank call,blank call
ask about sawing time of tobaco,augustseptember
asking of thrips in sesamum,use imidacloprid 8mlacephate 10gmpump
asking information about cauliflower fruit are not setting,advice to complain to the dealer from where they have brought the seeds
asking of subcidi in gypsum,advice for contect to gram swvak
blank call,blank call
for fertilizer dose in paddy,give 120kgha nitrogen in 3 split doses
variety of cotton,advice to use rashi-2 bolgard bijdhan
owing time of paddy,sowing in june-july
asking about sucking pest in bitter gourd,advice to use immidacloprid 7ml  acephate 10gmpump
ask for the for the fertilizer doseof cauliflower,use of 200-75-375 kg npkhac of land
ask about kisan credit card,give propar information  advise to contact nationalize bank
for control of wilt in pigeanpea,use mencozeb 35gmpump
sowing time of fennel,sowing in june-july
for cultivation of paddy,give required information
blank call,blank call
for control of whitefly in bittergourd,use trizophose 15mlpump
ectoparasite on buffalo,advice to use tactic
asking about fertiliser in cotton,use 50-50-50kgnpkha
wilt in bittergourd,prfere mancozeb 25-30gmpump
for cultivation of papaya,give required information
asking for sowing time of papaya,prfer sowing in aug-sept
ask about subsidy on rotavator,available upto 20000
asking sucking pest in cotton,use trizophos 20mlpump
leaf curl i choli,advice to spray triazophos 15-20mlpump
ask about variety in cotton,use rashuidhan -1-2bannirashi-2
contact no of aau,give him contact no
asking yellowish colour in moong,for the excess irrigation
variety of paddy,prfere gr-678
weed in field,advice to give glyphoset 50gm per pump
asking wilt in papaya,use hwxachlonazol 20mlpump
ask about wilt in papaya,use carbandezim 30gmpump
blank call,blank call
asking soil testing lab contact no of kheda dist,give him contact number
asking for using herbicide in paddy as pre-emergence,advice to use butachlor 1000kghac
asking agriculture fair in anand,agriculture fair on 262728 may at anand
sigatoka in banana,advice to use carbendezim 25gmpump
for marketprice of tobacco,not available
ask about variety in pegion pea,use gt-1gt-100
ask about time of sowing in pegion pea,prefer in june -july
asking for using berbicide in cotton as pre-emergence,advice to use pendimethalein 40mlpump
for subcidy of godown,50 subcidy is given by nabard
asking time of sowing of cotton,prefer jun-july
asking fertiliser in cotton,prefer 50-50-50 npk kgha
asking fertiliser in cotton,prefer 50 kg npk kgha
asking variety of ground nut,use gg-11121320
asking sowing time of ginger,advice to grow in april-may
ask for the iformation regarding agrifair,in navasari agriuni til 3rd june
asking control for sucking pest in cotton,adivce to use methyl-o-demeton 10ml10lit water
ask for termit problem in mango,use of chlorphayriphos 20mlpump
ask about fertilizer in cotton,use 50-50-50 npkha
asking avg yield of guj maize-6 variety of maize,give 2400-25--kgha yield
asking weedicide in seed bed of paddy,use 1-15kg pendimethelyne per hactare
asking about variety of paddy,gr-3456712gurjari
blank call,blank call
ask about mealybug in cotton,use methail perathion 25 kg ha
ask about stired pest in bajara,use selone tabalete
asking for cultivation of mushroom,blank
asking for jamnagar seed agency number,i have given
asking about navagam research station phone number,give proper information
asking of weed control in paddy,advice to not recommanded
asking for seed treatment of paddy,advice to give mancozeb or thiram 4-5gm per kg seed
asking for planting material of mango,i have given number of anand agri
ask for the varities of grounddnut,use of gg-2205tj-2637
ask varities of cotton,use of bijdhan-12digvijaysanjay
asking variety of chilli,advice to grow gvc-101111121
ask for the varities of paddy,use of gr-346712gurjari
varities of cotton,use of bijdhan-12digvijaysanjayv-797
ask about variety of cotton,krushidhan-12
asking control for root rotting in bitter gourd,advice to use hexaconozole 25-30mlpump and do drenching
ask about fertilizer in seedling,use 250 amonium sulphate500 g ssp in 0ne seed bad
for vareity of paddy,gr-1112567gurjari
asking variety of cotton,advice to grow rch-2mecho-12vikram-5krushi dhan-12
ask for the varities of paddy,use of gr-67910gurjaridandi
total production of paddy,4500 to 5000 kg seedhac of land
asking information about form of diploma in ah,give proper information about agriform
blank call,blank call
asking variety of bajara,use ghb-235316528558
asking about sowing time of cotton,advice to sowing in june-july
asking can grow intercropping between cotton and ground nut,yes growing
asking for weather,no rainfall
ask for the burn out of san hemp,burn at fowering stage
ask for the burn out of san hemp,burn at fowering stage
variety of paddy,prfer gr-114678
production of paddy per hac,it is near about 4500-5000rs per qtl
variety of bajra,ghb-235558577
variety of bajra,ghb-235558577
for vareity of bajra,gsh-526558
ask for hte mashroom cultivation,give the proper information
ask about variety of paddy,gurjarigr-67912
ask about wilt in bitter gourd,use mencozeb 30gmpump
asking variety in cotton,prefer rashi-2bijdhan-2
asking wilt in paddy,prefer carbendezim 25 gmpump
asking wilt in cow pea,prefer haxaconasol 20 mlpump
asking information about making natural compost fertiliser,advice to contact to anand agriculture university
ask about weather,no possibility of rain fall
asking wilt in paddy,prefer mancozeb 35 gmpump
asking subcidy in generator,not available subcidy in generator
ask for the fertilizer shortage in there village,give the contect number
fertilizer doesof cotton,use of 50-50-50 kg npkhac of land
ask for the white fly in bittlegaurd,use of trizophos 15mlpump
ask for the fertilizer doseof cow pea,use of 20-40-00 kg npkhac foland
blank call,blank call
asking dry process of cashew,prefer storage in alkethin bag for six month
asking ferrtiliser in paddy seedlings,use 250gmas 500gmssp castor cake
asking weedicide in paddy seedbed,use pendimethelene 1 kgha
asking of sowing time of chilli,advice to july to auagust
asking variety of okra,advice to use parbhani krantigujarat okra-2
asking variety of okra,advice to use parbhani krantigujarat okra-2
wilt in cow pea,use of hexaclonazol 20mlpump
ask for the wilt in cotton,use of hexaclonazol 20mlpump
ask about fertilizer in cotton,use 50-50-50 npkha
ask about variety of cotton,use krushidhan-1-2bannimallika
asking about anand agri university phone number,give proper information
asking about anand agri university phone number,give proper information
asking about anand agri university phone number,give proper information
ask about sawing time of caster,july-august
asking of sowing time of paddy,advice to prefer june to july
ask about wilt in ridge gourd,use hexaconazol 20mlpump
asking for rainfall,no rainfall
asking variety in soyabean,prefer gujsoy-12
asking herbicide for paddy,use pendimethylene 1kgha
ask about weather,no possibility of rain fall
asking of thrips in cotton,use imidacloprid 8mlacephate 10gmpump
